iter	Passed	Remaining
573	3124	1230
574	3129	1224
575	3134	1219
576	3139	1213
577	3144	1207
578	3149	1202
579	3154	1196
580	3159	1190
581	3164	1185
582	3169	1179
583	3174	1174
584	3181	1169
585	3187	1163
586	3192	1158
587	3197	1152
588	3202	1147
589	3207	1141
590	3212	1136
591	3217	1130
592	3222	1124
593	3227	1119
594	3233	1113
595	3238	1108
596	3243	1102
597	3247	1097
598	3253	1091
599	3258	1086
600	3263	1080
601	3268	1075
602	3273	1069
603	3278	1063
604	3283	1058
605	3288	1052
606	3293	1047
607	3298	1041
608	3304	1036
609	3309	1030
610	3314	1025
611	3319	1019
612	3324	1014
613	3329	1008
614	3335	1003
615	3340	997
616	3345	992
617	3351	986
618	3356	981
619	3361	975
620	3366	970
621	3371	964
622	3377	959
623	3382	954
624	3387	948
625	3392	943
626	3397	937
627	3402	931
628	3407	926
629	3412	920
630	3418	915
631	3424	910
632	3430	904
633	3435	899
634	3441	894
635	3446	888
636	3451	883
637	3456	877
638	3460	872
639	3466	866
640	3471	861
641	3476	855
642	3481	850
643	3486	844
644	3491	839
645	3496	833
646	3501	828
647	3507	822
648	3514	817
649	3519	812
650	3525	806
651	3530	801
652	3535	796
653	3541	790
654	3546	785
655	3551	779
656	3557	774
657	3561	768
658	3566	763
659	3571	757
660	3576	752
661	3581	746
662	3586	741
663	3591	735
664	3598	730
665	3604	725
666	3609	719
667	3614	714
668	3620	708
669	3626	703
670	3631	698
671	3636	692
672	3641	687
673	3646	681
674	3651	676
675	3656	670
676	3661	665
677	3667	659
678	3672	654
679	3677	649
680	3682	643
681	3688	638
682	3693	632
683	3698	627
684	3704	622
685	3711	616
686	3718	611
687	3724	606
688	3729	600
689	3734	595
690	3738	589
691	3744	584
692	3749	578
693	3754	573
694	3759	568
695	3765	562
696	3769	557
697	3774	551
698	3779	546
699	3784	540
700	3790	535
701	3795	529
702	3800	524
703	3805	518
704	3810	513
705	3815	507
706	3820	502
707	3825	497
708	3830	491
709	3836	486
710	3842	481
711	3848	475
712	3853	470
713	3859	464
714	3864	459
715	3868	453
716	3873	448
717	3878	442
718	3884	437
719	3889	432
720	3894	426
721	3899	421
722	3904	415
723	3909	410
724	3914	404
725	3920	399
726	3925	394
727	3930	388
728	3936	383
729	3941	377
730	3946	372
731	3950	367
732	3956	361
733	3961	356
734	3966	350
735	3971	345
736	3976	339
737	3981	334
738	3986	329
739	3991	323
740	3996	318
741	4001	312
742	4006	307
743	4012	302
744	4018	296
745	4024	291
746	4028	285
747	4033	280
748	4039	275
749	4044	269
750	4049	264
751	4055	258
752	4061	253
753	4067	248
754	4072	242
755	4077	237
756	4082	231
757	4087	226
758	4092	221
759	4097	215
760	4102	210
761	4107	204
762	4112	199
763	4117	193
764	4122	188
765	4127	183
766	4132	177
767	4137	172
768	4144	167
769	4150	161
770	4156	156
771	4162	150
772	4167	145
773	4172	140
774	4177	134
775	4181	129
776	4186	123
777	4191	118
778	4196	113
779	4203	107
780	4208	102
781	4213	96
782	4218	91
783	4223	86
784	4228	80
785	4233	75
786	4239	70
787	4244	64
788	4249	59
789	4254	53
790	4259	48
791	4263	43
792	4269	37
793	4274	32
794	4279	26
795	4284	21
796	4289	16
797	4294	10
798	4300	5
799	4306	0
